Congress,Years,Chamber,PartyStatus,Seats
100,1987 - 1989,Senate,Other,.
100,1987 - 1989,Senate,Republican,45
100,1987 - 1989,Senate,Vacant,.
101,1989 - 1991,Senate,All,100
101,1989 - 1991,Senate,Democrat,55
101,1989 - 1991,Senate,Other,.
101,1989 - 1991,Senate,Republican,45
101,1989 - 1991,Senate,Vacant,.
102,1991 - 1993,Senate,All,100
102,1991 - 1993,Senate,Democrat,56
102,1991 - 1993,Senate,Other,.
102,1991 - 1993,Senate,Republican,44
102,1991 - 1993,Senate,Vacant,.
103,1993 - 1995,Senate,All,100
103,1993 - 1995,Senate,Democrat,57
103,1993 - 1995,Senate,Other,.
103,1993 - 1995,Senate,Republican,43
103,1993 - 1995,Senate,Vacant,.
104,1995 - 1997,Senate,All,100
104,1995 - 1997,Senate,Democrat,47
104,1995 - 1997,Senate,Other,.
104,1995 - 1997,Senate,Republican,53
104,1995 - 1997,Senate,Vacant,.
105,1997 - 1999,Senate,All,100
105,1997 - 1999,Senate,Democrat,45
105,1997 - 1999,Senate,Other,.
105,1997 - 1999,Senate,Republican,55
105,1997 - 1999,Senate,Vacant,.
106,1999 - 2001,Senate,All,100
106,1999 - 2001,Senate,Democrat,45
106,1999 - 2001,Senate,Other,.
106,1999 - 2001,Senate,Republican,55
106,1999 - 2001,Senate,Vacant,.
107,2001 - 2003,Senate,All,100
107,2001 - 2003,Senate,Democrat,50
107,2001 - 2003,Senate,Other,.
107,2001 - 2003,Senate,Republican,50
107,2001 - 2003,Senate,Vacant,.
108,2003 - 2005,Senate,All,100
108,2003 - 2005,Senate,Democrat,48
108,2003 - 2005,Senate,Other,1
108,2003 - 2005,Senate,Republican,51
108,2003 - 2005,Senate,Vacant,.
109,2005 - 2007,Senate,All,100
109,2005 - 2007,Senate,Democrat,44
109,2005 - 2007,Senate,Other,1
109,2005 - 2007,Senate,Republican,55
109,2005 - 2007,Senate,Vacant,.
110,2007 - 2009,Senate,All,100
110,2007 - 2009,Senate,Democrat,49
110,2007 - 2009,Senate,Other,2
110,2007 - 2009,Senate,Republican,49
110,2007 - 2009,Senate,Vacant,.
111,2009 - 2011,Senate,All,100
111,2009 - 2011,Senate,Democrat,55
111,2009 - 2011,Senate,Other,2
111,2009 - 2011,Senate,Republican,41
111,2009 - 2011,Senate,Vacant,1
112,2011 - 2013,Senate,All,100
112,2011 - 2013,Senate,Democrat,51
112,2011 - 2013,Senate,Other,2
112,2011 - 2013,Senate,Republican,47
112,2011 - 2013,Senate,Vacant,.
113,2013 - 2015,Senate,All,100
113,2013 - 2015,Senate,Democrat,53
113,2013 - 2015,Senate,Other,2
113,2013 - 2015,Senate,Republican,45
113,2013 - 2015,Senate,Vacant,.
114,2015 - 2017,Senate,All,100
114,2015 - 2017,Senate,Democrat,44
114,2015 - 2017,Senate,Other,2
114,2015 - 2017,Senate,Republican,54
114,2015 - 2017,Senate,Vacant,.
115,2017 - 2018,Senate,All,100
115,2017 - 2018,Senate,Democrat,46
115,2017 - 2018,Senate,Other,2
115,2017 - 2018,Senate,Republican,52
115,2017 - 2018,Senate,Vacant,.
116,2019-2020,Senate,All,100
116,2019-2020,Senate,Democrat,45
116,2019-2020,Senate,Other,2
116,2019-2020,Senate,Republican,53
116,2019-2020,Senate,Vacant,.
