Year,Country,Central government personal income tax rates and thresholds,Value,Flags
"2000","Norway","Threshold1",277800,
"2001","Norway","Threshold1",289000,
"2002","Norway","Threshold1",320000,
"2003","Norway","Threshold1",340700,
"2004","Norway","Threshold1",354300,
"2005","Norway","Threshold1",381000,
"2006","Norway","Threshold1",394000,
"2007","Norway","Threshold1",400000,
"2008","Norway","Threshold1",420000,
"2009","Norway","Threshold1",441000,
"2010","Norway","Threshold1",456400,
"2011","Norway","Threshold1",456400,
"2012","Norway","Threshold1",490000,
"2013","Norway","Threshold1",509600,
"2000","Poland","Threshold1",32736,
"2002","Poland","Threshold1",37024,
"2003","Poland","Threshold1",37024,
"2004","Poland","Threshold1",37024,
"2005","Poland","Threshold1",37024,
"2006","Poland","Threshold1",37024,
"2007","Poland","Threshold1",43405,
"2008","Poland","Threshold1",44490,
"2009","Poland","Threshold1",85528,
"2010","Poland","Threshold1",85528,
"2011","Poland","Threshold1",85528,
"2012","Poland","Threshold1",85528,
"2013","Poland","Threshold1",85528,
"2000","Portugal","Threshold1",3641.22,
"2001","Portugal","Threshold1",3990.38,
"2002","Portugal","Threshold1",4100.12,
"2003","Portugal","Threshold1",4182.12,
"2004","Portugal","Threshold1",4266,
"2005","Portugal","Threshold1",4351,
"2006","Portugal","Threshold1",4451,
"2007","Portugal","Threshold1",4454,
"2008","Portugal","Threshold1",4639,
"2009","Portugal","Threshold1",4755,
"2010","Portugal","Threshold1",4793,
"2011","Portugal","Threshold1",4898,
"2012","Portugal","Threshold1",4898,
"2013","Portugal","Threshold1",7000,
"2000","Slovak Republic","Threshold1",2987.453,
"2001","Slovak Republic","Threshold1",2987.453,
"2002","Slovak Republic","Threshold1",2987.453,
"2003","Slovak Republic","Threshold1",2987.453,
"2013","Slovak Republic","Threshold1",34401.74,
"2000","Spain","Threshold1",3678.194,
"2001","Spain","Threshold1",3678,
"2002","Spain","Threshold1",3678.19,
"2003","Spain","Threshold1",4000,
"2004","Spain","Threshold1",4000,
"2005","Spain","Threshold1",4080,
"2006","Spain","Threshold1",4161.6,
"2007","Spain","Threshold1",17360,
"2008","Spain","Threshold1",17707.2,
"2009","Spain","Threshold1",17707.2,
"2010","Spain","Threshold1",17707.2,
"2011","Spain","Threshold1",17707.2,
"2012","Spain","Threshold1",17707.2,
"2013","Spain","Threshold1",17707.2,
"2000","Sweden","Threshold1",232600,
"2001","Sweden","Threshold1",252000,
"2002","Sweden","Threshold1",273800,
"2003","Sweden","Threshold1",284300,
"2004","Sweden","Threshold1",291800,
"2005","Sweden","Threshold1",298600,
"2006","Sweden","Threshold1",306000,
"2007","Sweden","Threshold1",316700,
"2008","Sweden","Threshold1",328800,
"2009","Sweden","Threshold1",367600,
"2010","Sweden","Threshold1",372100,
"2011","Sweden","Threshold1",383000,
"2012","Sweden","Threshold1",401100,
"2013","Sweden","Threshold1",413200,
"2000","Switzerland","Threshold1",16100,
"2001","Switzerland","Threshold1",16100,
"2002","Switzerland","Threshold1",16100,
"2003","Switzerland","Threshold1",16100,
"2004","Switzerland","Threshold1",16100,
"2005","Switzerland","Threshold1",16100,
"2006","Switzerland","Threshold1",16900,
"2007","Switzerland","Threshold1",16900,
"2008","Switzerland","Threshold1",13600,
"2009","Switzerland","Threshold1",13600,
"2010","Switzerland","Threshold1",13600,
"2011","Switzerland","Threshold1",14400,
"2012","Switzerland","Threshold1",14500,
"2013","Switzerland","Threshold1",14500,
"2000","Turkey","Threshold1",2500000000,
"2001","Turkey","Threshold1",2800000000,
"2002","Turkey","Threshold1",3800000000,
"2003","Turkey","Threshold1",5000000000,
"2004","Turkey","Threshold1",6000000000,
"2005","Turkey","Threshold1",6600,
"2006","Turkey","Threshold1",7000,
"2007","Turkey","Threshold1",7500,
"2008","Turkey","Threshold1",7800,
"2009","Turkey","Threshold1",8700,
"2010","Turkey","Threshold1",8800,
"2011","Turkey","Threshold1",9400,
"2012","Turkey","Threshold1",10000,
"2013","Turkey","Threshold1",10700,
"2000","United Kingdom","Threshold1",1520,
"2001","United Kingdom","Threshold1",1880,
"2002","United Kingdom","Threshold1",1920,
"2003","United Kingdom","Threshold1",1960,
"2004","United Kingdom","Threshold1",2020,
"2005","United Kingdom","Threshold1",2090,
"2006","United Kingdom","Threshold1",2150,
"2007","United Kingdom","Threshold1",2230,
"2008","United Kingdom","Threshold1",34800,
"2009","United Kingdom","Threshold1",37400,
"2010","United Kingdom","Threshold1",37400,
"2011","United Kingdom","Threshold1",35000,
"2012","United Kingdom","Threshold1",34370,
"2013","United Kingdom","Threshold1",32010,
"2000","United States","Threshold1",26250,
"2001","United States","Threshold1",6000,
"2002","United States","Threshold1",6000,
"2003","United States","Threshold1",7000,
"2004","United States","Threshold1",7150,
"2005","United States","Threshold1",7300,
"2006","United States","Threshold1",7550,
"2007","United States","Threshold1",7825,
"2008","United States","Threshold1",8025,
"2009","United States","Threshold1",8350,
"2010","United States","Threshold1",8375,
"2011","United States","Threshold1",8500,
"2012","United States","Threshold1",8700,
"2013","United States","Threshold1",8925,
"2000","Chile","Threshold1",9936000,
"2001","Chile","Threshold1",10268640,
"2002","Chile","Threshold1",10580040,
"2003","Chile","Threshold1",10706040,
"2004","Chile","Threshold1",10910880,
"2005","Chile","Threshold1",11365560,
"2006","Chile","Threshold1",11594160,
"2007","Chile","Threshold1",12319920,
"2008","Chile","Threshold1",13554720,
"2009","Chile","Threshold1",13270680,
"2010","Chile","Threshold1",13537800,
"2011","Chile","Threshold1",14047560,
"2012","Chile","Threshold1",14474160,
"2013","Chile","Threshold1",14474160,
"2000","Israel","Threshold1",23280,
"2001","Israel","Threshold1",23400,
"2002","Israel","Threshold1",28410,
"2003","Israel","Threshold1",25200,
"2004","Israel","Threshold1",46800,
"2005","Israel","Threshold1",50040,
"2006","Israel","Threshold1",51360,
"2007","Israel","Threshold1",51240,
"2008","Israel","Threshold1",52680,
"2009","Israel","Threshold1",55080,
"2010","Israel","Threshold1",57240,
"2011","Israel","Threshold1",60840,
"2012","Israel","Threshold1",62400,
"2013","Israel","Threshold1",62400,
"2000","Slovenia","Threshold1",4770.47,
"2001","Slovenia","Threshold1",5338.16,
"2002","Slovenia","Threshold1",5855.96,
"2003","Slovenia","Threshold1",6295.16,
"2004","Slovenia","Threshold1",6653.98,
"2005","Slovenia","Threshold1",5424.8,
"2006","Slovenia","Threshold1",5538.72,
"2007","Slovenia","Threshold1",6800,
"2008","Slovenia","Threshold1",7187.6,
"2009","Slovenia","Threshold1",7410.42,
"2010","Slovenia","Threshold1",7528.99,
"2011","Slovenia","Threshold1",7634.4,
"2012","Slovenia","Threshold1",7840.53,
"2013","Slovenia","Threshold1",8021.34,
"2000","Australia","Marginal rate 2",17,
"2001","Australia","Marginal rate 2",17,
"2002","Australia","Marginal rate 2",17,
"2003","Australia","Marginal rate 2",17,
"2004","Australia","Marginal rate 2",17,
"2005","Australia","Marginal rate 2",15,
"2006","Australia","Marginal rate 2",15,
"2007","Australia","Marginal rate 2",15,
"2008","Australia","Marginal rate 2",15,
"2009","Australia","Marginal rate 2",15,
"2010","Australia","Marginal rate 2",15,
"2011","Australia","Marginal rate 2",15,
"2012","Australia","Marginal rate 2",15,
"2013","Australia","Marginal rate 2",19,
"2000","Austria","Marginal rate 2",21,
"2001","Austria","Marginal rate 2",21,
"2002","Austria","Marginal rate 2",21,
"2003","Austria","Marginal rate 2",21,
"2004","Austria","Marginal rate 2",21,
"2005","Austria","Marginal rate 2",38.333,
"2006","Austria","Marginal rate 2",38.333,
"2007","Austria","Marginal rate 2",38.333,
"2008","Austria","Marginal rate 2",38.333,
"2009","Austria","Marginal rate 2",36.5,
"2010","Austria","Marginal rate 2",36.5,
"2011","Austria","Marginal rate 2",36.5,
"2012","Austria","Marginal rate 2",36.5,
"2013","Austria","Marginal rate 2",36.5,
"2000","Belgium","Marginal rate 2",30,
"2001","Belgium","Marginal rate 2",30,
"2002","Belgium","Marginal rate 2",30,
"2003","Belgium","Marginal rate 2",30,
"2004","Belgium","Marginal rate 2",30,
"2005","Belgium","Marginal rate 2",30,
"2006","Belgium","Marginal rate 2",30,
"2007","Belgium","Marginal rate 2",30,
"2008","Belgium","Marginal rate 2",30,
"2009","Belgium","Marginal rate 2",30,
"2010","Belgium","Marginal rate 2",30,
"2011","Belgium","Marginal rate 2",30,
"2012","Belgium","Marginal rate 2",30,
"2013","Belgium","Marginal rate 2",30,
"2000","Canada","Marginal rate 2",25,
"2001","Canada","Marginal rate 2",22,
"2002","Canada","Marginal rate 2",22,
"2003","Canada","Marginal rate 2",22,
"2004","Canada","Marginal rate 2",22,
"2005","Canada","Marginal rate 2",22,
"2006","Canada","Marginal rate 2",22,
"2007","Canada","Marginal rate 2",22,
"2008","Canada","Marginal rate 2",22,
"2009","Canada","Marginal rate 2",22,
"2010","Canada","Marginal rate 2",22,
"2011","Canada","Marginal rate 2",22,
"2012","Canada","Marginal rate 2",22,
"2013","Canada","Marginal rate 2",22,
"2000","Czech Republic","Marginal rate 2",20,
"2001","Czech Republic","Marginal rate 2",20,
"2002","Czech Republic","Marginal rate 2",20,
"2003","Czech Republic","Marginal rate 2",20,
"2004","Czech Republic","Marginal rate 2",20,
"2005","Czech Republic","Marginal rate 2",20,
"2006","Czech Republic","Marginal rate 2",19,
"2007","Czech Republic","Marginal rate 2",19,
"2000","Denmark","Marginal rate 2",13,
"2001","Denmark","Marginal rate 2",12.25,
"2002","Denmark","Marginal rate 2",11.5,
"2003","Denmark","Marginal rate 2",11.5,
"2004","Denmark","Marginal rate 2",11.5,
"2005","Denmark","Marginal rate 2",11.48,
"2006","Denmark","Marginal rate 2",11.48,
"2007","Denmark","Marginal rate 2",11.48,
"2008","Denmark","Marginal rate 2",11.48,
"2009","Denmark","Marginal rate 2",26.04,
"2010","Denmark","Marginal rate 2",18.67,
"2011","Denmark","Marginal rate 2",18.64,
"2012","Denmark","Marginal rate 2",19.65,
"2013","Denmark","Marginal rate 2",20.83,
"2000","Finland","Marginal rate 2",5,
"2001","Finland","Marginal rate 2",14,
"2002","Finland","Marginal rate 2",13,
"2003","Finland","Marginal rate 2",12,
"2004","Finland","Marginal rate 2",11,
"2005","Finland","Marginal rate 2",10.5,
"2006","Finland","Marginal rate 2",9,
"2007","Finland","Marginal rate 2",9,
"2008","Finland","Marginal rate 2",8.5,
"2009","Finland","Marginal rate 2",7,
"2010","Finland","Marginal rate 2",6.5,
"2011","Finland","Marginal rate 2",6.5,
"2012","Finland","Marginal rate 2",6.5,
"2013","Finland","Marginal rate 2",6.5,
"2000","France","Marginal rate 2",8.25,
"2001","France","Marginal rate 2",7.5,
"2002","France","Marginal rate 2",7.05,
"2003","France","Marginal rate 2",6.83,
"2004","France","Marginal rate 2",6.83,
"2005","France","Marginal rate 2",6.83,
"2006","France","Marginal rate 2",5.5,
"2007","France","Marginal rate 2",5.5,
"2008","France","Marginal rate 2",5.5,
"2009","France","Marginal rate 2",5.5,
"2010","France","Marginal rate 2",5.5,
"2011","France","Marginal rate 2",5.5,
"2012","France","Marginal rate 2",5.5,
"2013","France","Marginal rate 2",5.5,
"2000","Germany","Marginal rate 2",22.9,
"2001","Germany","Marginal rate 2",19.9,
"2002","Germany","Marginal rate 2",19.9,
"2003","Germany","Marginal rate 2",19.9,
"2004","Germany","Marginal rate 2",16,
"2005","Germany","Marginal rate 2",15,
"2006","Germany","Marginal rate 2",15,
"2007","Germany","Marginal rate 2",15,
"2008","Germany","Marginal rate 2",15,
"2009","Germany","Marginal rate 2",14,
"2010","Germany","Marginal rate 2",14,
"2011","Germany","Marginal rate 2",14,
"2012","Germany","Marginal rate 2",14,
"2013","Germany","Marginal rate 2",14,
"2000","Greece","Marginal rate 2",5,
"2001","Greece","Marginal rate 2",5,
"2002","Greece","Marginal rate 2",15,
"2003","Greece","Marginal rate 2",15,
"2004","Greece","Marginal rate 2",15,
"2005","Greece","Marginal rate 2",15,
"2006","Greece","Marginal rate 2",15,
"2007","Greece","Marginal rate 2",29,
"2008","Greece","Marginal rate 2",27,
"2009","Greece","Marginal rate 2",25,
"2010","Greece","Marginal rate 2",18,
"2011","Greece","Marginal rate 2",10,
"2012","Greece","Marginal rate 2",10,
"2013","Greece","Marginal rate 2",10,
"2000","Hungary","Marginal rate 2",30,
"2001","Hungary","Marginal rate 2",30,
"2002","Hungary","Marginal rate 2",30,
"2003","Hungary","Marginal rate 2",30,
"2004","Hungary","Marginal rate 2",26,
"2005","Hungary","Marginal rate 2",38,
"2006","Hungary","Marginal rate 2",36,
"2007","Hungary","Marginal rate 2",36,
"2008","Hungary","Marginal rate 2",36,
"2009","Hungary","Marginal rate 2",36,
"2010","Hungary","Marginal rate 2",32,
"2000","Iceland","Marginal rate 2",33.41,
"2001","Iceland","Marginal rate 2",33.08,
"2002","Iceland","Marginal rate 2",32.75,
"2003","Iceland","Marginal rate 2",30.75,
"2004","Iceland","Marginal rate 2",29.75,
"2005","Iceland","Marginal rate 2",26.75,
"2010","Iceland","Marginal rate 2",27,
"2011","Iceland","Marginal rate 2",25.8,
"2012","Iceland","Marginal rate 2",25.8,
"2013","Iceland","Marginal rate 2",25.8,
"2000","Ireland","Marginal rate 2",44,
"2001","Ireland","Marginal rate 2",42,
"2002","Ireland","Marginal rate 2",42,
"2003","Ireland","Marginal rate 2",42,
"2004","Ireland","Marginal rate 2",42,
"2005","Ireland","Marginal rate 2",42,
"2006","Ireland","Marginal rate 2",42,
"2007","Ireland","Marginal rate 2",41,
"2008","Ireland","Marginal rate 2",41,
"2009","Ireland","Marginal rate 2",41,
"2010","Ireland","Marginal rate 2",41,
"2011","Ireland","Marginal rate 2",41,
"2012","Ireland","Marginal rate 2",41,
"2013","Ireland","Marginal rate 2",41,
"2000","Italy","Marginal rate 2",25.5,
"2001","Italy","Marginal rate 2",24,
"2002","Italy","Marginal rate 2",24,
"2003","Italy","Marginal rate 2",29,
"2004","Italy","Marginal rate 2",29,
"2005","Italy","Marginal rate 2",33,
"2006","Italy","Marginal rate 2",33,
"2007","Italy","Marginal rate 2",27,
"2008","Italy","Marginal rate 2",27,
"2009","Italy","Marginal rate 2",27,
"2010","Italy","Marginal rate 2",27,
"2011","Italy","Marginal rate 2",27,
"2012","Italy","Marginal rate 2",27,
"2013","Italy","Marginal rate 2",27,
"2000","Japan","Marginal rate 2",20,
"2001","Japan","Marginal rate 2",20,
"2002","Japan","Marginal rate 2",20,
"2003","Japan","Marginal rate 2",20,
"2004","Japan","Marginal rate 2",20,
"2005","Japan","Marginal rate 2",20,
"2006","Japan","Marginal rate 2",20,
"2007","Japan","Marginal rate 2",10,
"2008","Japan","Marginal rate 2",10,
"2009","Japan","Marginal rate 2",10,
"2010","Japan","Marginal rate 2",10,
"2011","Japan","Marginal rate 2",10,
"2012","Japan","Marginal rate 2",10,
"2013","Japan","Marginal rate 2",10,
"2000","Korea","Marginal rate 2",20,
"2001","Korea","Marginal rate 2",20,
"2002","Korea","Marginal rate 2",18,
"2003","Korea","Marginal rate 2",18,
"2004","Korea","Marginal rate 2",18,
"2005","Korea","Marginal rate 2",17,
"2006","Korea","Marginal rate 2",17,
"2007","Korea","Marginal rate 2",17,
"2008","Korea","Marginal rate 2",17,
"2009","Korea","Marginal rate 2",16,
"2010","Korea","Marginal rate 2",15,
"2011","Korea","Marginal rate 2",15,
"2012","Korea","Marginal rate 2",15,
"2013","Korea","Marginal rate 2",15,
"2000","Luxembourg","Marginal rate 2",6,
"2001","Luxembourg","Marginal rate 2",14,
"2002","Luxembourg","Marginal rate 2",8,
"2003","Luxembourg","Marginal rate 2",8,
"2004","Luxembourg","Marginal rate 2",8,
"2005","Luxembourg","Marginal rate 2",8,
"2006","Luxembourg","Marginal rate 2",8,
"2007","Luxembourg","Marginal rate 2",8,
"2008","Luxembourg","Marginal rate 2",8,
"2009","Luxembourg","Marginal rate 2",8,
"2010","Luxembourg","Marginal rate 2",8,
"2011","Luxembourg","Marginal rate 2",8,
"2012","Luxembourg","Marginal rate 2",8,
"2013","Luxembourg","Marginal rate 2",8,
"2000","Mexico","Marginal rate 2",10,
"2001","Mexico","Marginal rate 2",10,
"2002","Mexico","Marginal rate 2",10,
"2003","Mexico","Marginal rate 2",10,
"2004","Mexico","Marginal rate 2",10,
"2005","Mexico","Marginal rate 2",10,
"2006","Mexico","Marginal rate 2",10,
"2007","Mexico","Marginal rate 2",10,
"2008","Mexico","Marginal rate 2",6.4,
"2009","Mexico","Marginal rate 2",6.4,
"2010","Mexico","Marginal rate 2",6.4,
"2011","Mexico","Marginal rate 2",6.4,
"2012","Mexico","Marginal rate 2",6.4,
"2013","Mexico","Marginal rate 2",6.4,
"2000","Netherlands","Marginal rate 2",8.55,
"2001","Netherlands","Marginal rate 2",8.2,
"2002","Netherlands","Marginal rate 2",8.45,
"2003","Netherlands","Marginal rate 2",7.2,
"2004","Netherlands","Marginal rate 2",7.95,
"2005","Netherlands","Marginal rate 2",9.35,
"2006","Netherlands","Marginal rate 2",9.75,
"2007","Netherlands","Marginal rate 2",10.25,
"2008","Netherlands","Marginal rate 2",10.7,
"2009","Netherlands","Marginal rate 2",10.85,
"2010","Netherlands","Marginal rate 2",10.8,
"2011","Netherlands","Marginal rate 2",10.8,
"2012","Netherlands","Marginal rate 2",10.8,
"2013","Netherlands","Marginal rate 2",10.9,
"2000","New Zealand","Marginal rate 2",21,
"2001","New Zealand","Marginal rate 2",21,
"2002","New Zealand","Marginal rate 2",21,
"2003","New Zealand","Marginal rate 2",21,
"2004","New Zealand","Marginal rate 2",21,
"2005","New Zealand","Marginal rate 2",21,
"2006","New Zealand","Marginal rate 2",21,
"2007","New Zealand","Marginal rate 2",21,
"2008","New Zealand","Marginal rate 2",16.75,
"2009","New Zealand","Marginal rate 2",21,
"2010","New Zealand","Marginal rate 2",19.25,
"2011","New Zealand","Marginal rate 2",17.5,
"2012","New Zealand","Marginal rate 2",17.5,
"2013","New Zealand","Marginal rate 2",17.5,
"2000","Norway","Marginal rate 2",23.85,
"2001","Norway","Marginal rate 2",22.4,
"2002","Norway","Marginal rate 2",27.2,
"2003","Norway","Marginal rate 2",25.26,
"2004","Norway","Marginal rate 2",25.7,
"2005","Norway","Marginal rate 2",23.8,
"2006","Norway","Marginal rate 2",20.8,
"2007","Norway","Marginal rate 2",21.6,
"2008","Norway","Marginal rate 2",22.3,
"2009","Norway","Marginal rate 2",21.55,
"2010","Norway","Marginal rate 2",21.55,
"2011","Norway","Marginal rate 2",23.05,
"2012","Norway","Marginal rate 2",22.75,
"2013","Norway","Marginal rate 2",22.75,
"2000","Poland","Marginal rate 2",30,
"2002","Poland","Marginal rate 2",30,
"2003","Poland","Marginal rate 2",30,
"2004","Poland","Marginal rate 2",30,
"2005","Poland","Marginal rate 2",30,
"2006","Poland","Marginal rate 2",30,
"2007","Poland","Marginal rate 2",30,
"2008","Poland","Marginal rate 2",30,
"2009","Poland","Marginal rate 2",32,
"2010","Poland","Marginal rate 2",32,
"2011","Poland","Marginal rate 2",32,
"2012","Poland","Marginal rate 2",32,
"2013","Poland","Marginal rate 2",32,
"2000","Portugal","Marginal rate 2",15,
"2001","Portugal","Marginal rate 2",14,
"2002","Portugal","Marginal rate 2",14,
"2003","Portugal","Marginal rate 2",14,
"2004","Portugal","Marginal rate 2",14,
"2005","Portugal","Marginal rate 2",13,
"2006","Portugal","Marginal rate 2",13,
"2007","Portugal","Marginal rate 2",13,
"2008","Portugal","Marginal rate 2",13,
"2009","Portugal","Marginal rate 2",13,
"2010","Portugal","Marginal rate 2",13.58,
"2011","Portugal","Marginal rate 2",14,
"2012","Portugal","Marginal rate 2",14,
"2013","Portugal","Marginal rate 2",28.5,
"2000","Slovak Republic","Marginal rate 2",20,
"2001","Slovak Republic","Marginal rate 2",20,
"2002","Slovak Republic","Marginal rate 2",20,
"2003","Slovak Republic","Marginal rate 2",20,
"2013","Slovak Republic","Marginal rate 2",25,
"2000","Spain","Marginal rate 2",20.17,
"2001","Spain","Marginal rate 2",20.17,
"2002","Spain","Marginal rate 2",20.17,
"2003","Spain","Marginal rate 2",15.84,
"2004","Spain","Marginal rate 2",15.84,
"2005","Spain","Marginal rate 2",15.84,
"2006","Spain","Marginal rate 2",15.84,
"2007","Spain","Marginal rate 2",18.27,
"2008","Spain","Marginal rate 2",18.27,
"2009","Spain","Marginal rate 2",18.27,
"2010","Spain","Marginal rate 2",18.27,
"2011","Spain","Marginal rate 2",14,
"2012","Spain","Marginal rate 2",16,
"2013","Spain","Marginal rate 2",16,
"2000","Sweden","Marginal rate 2",20,
"2001","Sweden","Marginal rate 2",20,
"2002","Sweden","Marginal rate 2",20,
"2003","Sweden","Marginal rate 2",20,
"2004","Sweden","Marginal rate 2",20,
"2005","Sweden","Marginal rate 2",20,
"2006","Sweden","Marginal rate 2",20,
"2007","Sweden","Marginal rate 2",20,
"2008","Sweden","Marginal rate 2",20,
"2009","Sweden","Marginal rate 2",20,
"2010","Sweden","Marginal rate 2",20,
"2011","Sweden","Marginal rate 2",20,
"2012","Sweden","Marginal rate 2",20,
"2013","Sweden","Marginal rate 2",20,
"2000","Switzerland","Marginal rate 2",0.77,
"2001","Switzerland","Marginal rate 2",0.77,
"2002","Switzerland","Marginal rate 2",0.77,
"2003","Switzerland","Marginal rate 2",0.77,
"2004","Switzerland","Marginal rate 2",0.77,
"2005","Switzerland","Marginal rate 2",0.77,
"2006","Switzerland","Marginal rate 2",0.77,
"2007","Switzerland","Marginal rate 2",0.77,
"2008","Switzerland","Marginal rate 2",0.77,
"2009","Switzerland","Marginal rate 2",0.77,
"2010","Switzerland","Marginal rate 2",0.77,
"2011","Switzerland","Marginal rate 2",0.77,
"2012","Switzerland","Marginal rate 2",0.77,
"2013","Switzerland","Marginal rate 2",0.77,
"2000","Turkey","Marginal rate 2",20,
"2001","Turkey","Marginal rate 2",20,
"2002","Turkey","Marginal rate 2",20,
"2003","Turkey","Marginal rate 2",20,
"2004","Turkey","Marginal rate 2",20,
"2005","Turkey","Marginal rate 2",20,
"2006","Turkey","Marginal rate 2",20,
"2007","Turkey","Marginal rate 2",20,
"2008","Turkey","Marginal rate 2",20,
"2009","Turkey","Marginal rate 2",20,
"2010","Turkey","Marginal rate 2",20,
"2011","Turkey","Marginal rate 2",20,
"2012","Turkey","Marginal rate 2",20,
"2013","Turkey","Marginal rate 2",20,
"2000","United Kingdom","Marginal rate 2",22,
"2001","United Kingdom","Marginal rate 2",22,
"2002","United Kingdom","Marginal rate 2",22,
"2003","United Kingdom","Marginal rate 2",22,
"2004","United Kingdom","Marginal rate 2",22,
"2005","United Kingdom","Marginal rate 2",22,
"2006","United Kingdom","Marginal rate 2",22,
"2007","United Kingdom","Marginal rate 2",22,
"2008","United Kingdom","Marginal rate 2",40,
"2009","United Kingdom","Marginal rate 2",40,
"2010","United Kingdom","Marginal rate 2",40,
"2011","United Kingdom","Marginal rate 2",40,
"2012","United Kingdom","Marginal rate 2",40,
"2013","United Kingdom","Marginal rate 2",40,
"2000","United States","Marginal rate 2",28,
"2001","United States","Marginal rate 2",15,
"2002","United States","Marginal rate 2",15,
"2003","United States","Marginal rate 2",15,
"2004","United States","Marginal rate 2",15,
"2005","United States","Marginal rate 2",15,
"2006","United States","Marginal rate 2",15,
"2007","United States","Marginal rate 2",15,
"2008","United States","Marginal rate 2",15,
"2009","United States","Marginal rate 2",15,
"2010","United States","Marginal rate 2",15,
"2011","United States","Marginal rate 2",15,
"2012","United States","Marginal rate 2",15,
"2013","United States","Marginal rate 2",15,
"2000","Chile","Marginal rate 2",10,
"2001","Chile","Marginal rate 2",10,
"2002","Chile","Marginal rate 2",10,
"2003","Chile","Marginal rate 2",10,
"2004","Chile","Marginal rate 2",10,
"2005","Chile","Marginal rate 2",10,
"2006","Chile","Marginal rate 2",10,
"2007","Chile","Marginal rate 2",10,
"2008","Chile","Marginal rate 2",10,
"2009","Chile","Marginal rate 2",10,
"2010","Chile","Marginal rate 2",10,
"2011","Chile","Marginal rate 2",10,
"2012","Chile","Marginal rate 2",10,
"2013","Chile","Marginal rate 2",10,
"2000","Israel","Marginal rate 2",20,
"2001","Israel","Marginal rate 2",20,
"2002","Israel","Marginal rate 2",20,
"2003","Israel","Marginal rate 2",18,
"2004","Israel","Marginal rate 2",25,
"2005","Israel","Marginal rate 2",23,
"2006","Israel","Marginal rate 2",22,
"2007","Israel","Marginal rate 2",21,
"2008","Israel","Marginal rate 2",16,
"2009","Israel","Marginal rate 2",15,
"2010","Israel","Marginal rate 2",14,
"2011","Israel","Marginal rate 2",14,
"2012","Israel","Marginal rate 2",14,
"2013","Israel","Marginal rate 2",14,
"2000","Slovenia","Marginal rate 2",35,
"2001","Slovenia","Marginal rate 2",35,
"2002","Slovenia","Marginal rate 2",35,
"2003","Slovenia","Marginal rate 2",35,
"2004","Slovenia","Marginal rate 2",35,
"2005","Slovenia","Marginal rate 2",33,
"2006","Slovenia","Marginal rate 2",33,
"2007","Slovenia","Marginal rate 2",27,
"2008","Slovenia","Marginal rate 2",27,
"2009","Slovenia","Marginal rate 2",27,
"2010","Slovenia","Marginal rate 2",27,
"2011","Slovenia","Marginal rate 2",27,
"2012","Slovenia","Marginal rate 2",27,
"2013","Slovenia","Marginal rate 2",27,
"2000","Australia","Threshold 2",20000,
"2001","Australia","Threshold 2",20000,
"2002","Australia","Threshold 2",20000,
"2003","Australia","Threshold 2",21600,
"2004","Australia","Threshold 2",21600,
"2005","Australia","Threshold 2",21600,
"2006","Australia","Threshold 2",21600,
"2007","Australia","Threshold 2",25000,
"2008","Australia","Threshold 2",30000,
"2009","Australia","Threshold 2",34000,
"2010","Australia","Threshold 2",35000,
"2011","Australia","Threshold 2",37000,
"2012","Australia","Threshold 2",37000,
"2013","Australia","Threshold 2",37000,
"2000","Austria","Threshold 2",7267.3,
"2001","Austria","Threshold 2",7267.3,
"2002","Austria","Threshold 2",7270,
"2003","Austria","Threshold 2",7270,
"2004","Austria","Threshold 2",7270,
"2005","Austria","Threshold 2",25000,
"2006","Austria","Threshold 2",25000,
"2007","Austria","Threshold 2",25000,
"2008","Austria","Threshold 2",25000,
"2009","Austria","Threshold 2",25000,
"2010","Austria","Threshold 2",25000,
"2011","Austria","Threshold 2",25000,
"2012","Austria","Threshold 2",25000,
"2013","Austria","Threshold 2",25000,
"2000","Belgium","Threshold 2",8477.959,
"2001","Belgium","Threshold 2",8710,
"2002","Belgium","Threshold 2",8920,
"2003","Belgium","Threshold 2",9740,
"2004","Belgium","Threshold 2",9890,
"2005","Belgium","Threshold 2",10100,
"2006","Belgium","Threshold 2",10380,
"2007","Belgium","Threshold 2",10570,
"2008","Belgium","Threshold 2",10760,
"2009","Belgium","Threshold 2",11250,
"2010","Belgium","Threshold 2",11240,
"2011","Belgium","Threshold 2",11480,
"2012","Belgium","Threshold 2",11890,
"2013","Belgium","Threshold 2",11890,
"2000","Canada","Threshold 2",60009,
"2001","Canada","Threshold 2",61509,
"2002","Canada","Threshold 2",63354,
"2003","Canada","Threshold 2",64368,
"2004","Canada","Threshold 2",70000,
"2005","Canada","Threshold 2",71190,
"2006","Canada","Threshold 2",72756,
"2007","Canada","Threshold 2",74357,
"2008","Canada","Threshold 2",75769,
"2009","Canada","Threshold 2",81452,
"2010","Canada","Threshold 2",81941,
"2011","Canada","Threshold 2",83088,
"2012","Canada","Threshold 2",85414,
"2013","Canada","Threshold 2",85414,
"2000","Czech Republic","Threshold 2",204000,
"2001","Czech Republic","Threshold 2",218400,
"2002","Czech Republic","Threshold 2",218400,
"2003","Czech Republic","Threshold 2",218400,
"2004","Czech Republic","Threshold 2",218400,
"2005","Czech Republic","Threshold 2",218400,
"2006","Czech Republic","Threshold 2",218400,
"2007","Czech Republic","Threshold 2",218400,
"2000","Denmark","Threshold 2",267600,
"2001","Denmark","Threshold 2",276900,
