"race_unique","office_type_fin","place","area","term","cntyname","date","office","recode_offname","total_votes","n_to_vote_for","n_candidates","n_incumb","n_incumb_per_office","n_candidates_per_office","n_open_seats","avg_winner","sd_winner","median_winner","lowest_winner","top_loser","loser_margin","loser_margin_pct","loser_difference_median_winner","avg_votes_per_office","entity_name","year","office_pretty"
"2002 200200906","City Council","AMERICAN CANYON",NA,"Full","NAPA",2002-11-05,"CITY COUNCIL","CITY COUNCIL",6748,3,10,2,0.666666666666667,3.33333333333333,1,1138.33333333333,135.699422745026,1076,1045,816,229,0.0339359810314167,0.212825278810409,2249.33333333333,"American Canyon",2002,"City Council"
"2002 200200908","City Council","NEVADA CITY",NA,"Full","NEVADA",2002-03-05,"CITY COUNCIL","CITY COUNCIL",1830,2,3,1,0.5,1.5,1,641,117.379725676967,641,558,548,10,0.00546448087431694,0.015600624024961,915,"Nevada City",2002,"City Council"
"2002 200200910","City Council","GRASS VALLEY",NA,"Full","NEVADA",2002-11-05,"CITY COUNCIL","CITY COUNCIL",6190,2,5,2,1,2.5,0,1862.5,14.8492424049175,1862.5,1852,1011,841,0.135864297253635,0.451543624161074,3095,"Grass Valley",2002,"City Council"
"2002 200200911","City Council","TRUCKEE",NA,"Full","NEVADA",2002-11-05,"CITY COUNCIL","CITY COUNCIL",11857,3,9,2,0.666666666666667,3,1,2004.33333333333,144.990804306112,2071,1838,1650,188,0.0158556127182255,0.0907774022211492,3952.33333333333,"Truckee",2002,"City Council"
"2002 200200912","City Council","SEAL BEACH","1","Full","ORANGE",2002-03-05,"CITY COUNCIL","CITY COUNCIL",1193,1,4,0,0,4,1,486,NA,486,486,339,147,0.123218776194468,0.302469135802469,1193,"Seal Beach",2002,"City Council"
"2002 200200913","City Council","SEAL BEACH","3","Full","ORANGE",2002-03-05,"CITY COUNCIL","CITY COUNCIL",939,1,1,1,1,1,0,939,NA,939,939,NA,NA,NA,NA,939,"Seal Beach",2002,"City Council"
"2002 200200914","City Council","SEAL BEACH","5","Full","ORANGE",2002-03-05,"CITY COUNCIL","CITY COUNCIL",1619,1,1,1,1,1,0,1619,NA,1619,1619,NA,NA,NA,NA,1619,"Seal Beach",2002,"City Council"
"2002 200200915","Attorney","HUNTINGTON BEACH",NA,"Full","ORANGE",2002-11-05,"CITY ATTORNEY","OTHER CITY OFFICE",46227,1,4,1,1,4,0,22267,NA,22267,22267,12458,9809,0.21219200899907,0.440517357524588,46227,"Huntington Beach",2002,"Attorney"
"2002 200200917","City Council","ANAHEIM",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",81584,2,11,0,0,5.5,2,14311.5,1318.75414691291,14311.5,13379,12753,626,0.00767307315159835,0.043741047409426,40792,"Anaheim",2002,"City Council"
"2002 200200918","City Council","BREA",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",25080,3,4,2,0.666666666666667,1.33333333333333,1,6796.33333333333,941.797395055504,7296,5710,4691,1019,0.0406299840510367,0.139665570175439,8360,"Brea",2002,"City Council"
"2002 200200919","City Council","BUENA PARK",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",29123,3,5,2,0.666666666666667,1.66666666666667,1,6556.66666666667,503.291499365262,6317,6218,5627,591,0.0202932390207053,0.0935570682285895,9707.66666666667,"Buena Park",2002,"City Council"
"2002 200200920","City Council","COSTA MESA",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",34658,2,5,1,0.5,2.5,1,9178,2207.5873708644,9178,7617,7092,525,0.0151480177736742,0.0572020047940728,17329,"Costa Mesa",2002,"City Council"
"2002 200200921","City Council","CYPRESS",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",30091,3,8,3,1,2.66666666666667,0,6306,802.5714921426,6225,5547,4124,1423,0.0472898873417301,0.22859437751004,10030.3333333333,"Cypress",2002,"City Council"
"2002 200200922","City Council","DANA POINT",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",27989,3,10,0,0,3.33333333333333,3,4471.66666666667,222.086319554657,4497,4238,3963,275,0.00982528850619886,0.0611518790304648,9329.66666666667,"Dana Point",2002,"City Council"
"2002 200200923","City Council","FOUNTAIN VALLEY",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",37175,3,7,2,0.666666666666667,2.33333333333333,1,6919.33333333333,469.840753163594,7178,6377,6153,224,0.00602555480833894,0.0312064641961549,12391.6666666667,"Fountain Valley",2002,"City Council"
"2002 200200924","City Council","FOUNTAIN VALLEY",NA,"Short","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",14126,1,5,0,0,5,1,4223,NA,4223,4223,3529,694,0.0491292651847657,0.164338148235851,14126,"Fountain Valley",2002,"City Council"
"2002 200200925","City Council","FULLERTON",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",42134,2,3,2,1,1.5,0,15405,2251.42799129797,15405,13813,11324,2489,0.059073432382399,0.161570918532944,21067,"Fullerton",2002,"City Council"
"2002 200200926","City Council","FULLERTON",NA,"Short","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",24189,1,6,0,0,6,1,7678,NA,7678,7678,6102,1576,0.0651535822067882,0.205261786923678,24189,"Fullerton",2002,"City Council"
"2002 200200927","City Council","GARDEN GROVE",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",46603,2,5,2,1,2.5,0,14338,913.581961293019,14338,13692,10731,2961,0.063536682187842,0.206514158181057,23301.5,"Garden Grove",2002,"City Council"
"2002 200200928","City Council","HUNTINGTON BEACH",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",164599,4,18,0,0,4.5,4,17975.25,2979.24726231308,17592.5,15032,14822,210,0.00127582792119029,0.0119369049310786,41149.75,"Huntington Beach",2002,"City Council"
"2002 200200929","City Council","IRVINE",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",64283,2,5,1,0.5,2.5,1,15210.5,917.117495198952,15210.5,14562,14499,63,0.000980041379524913,0.0041418756779856,32141.5,"Irvine",2002,"City Council"
"2002 200200930","City Council","LA HABRA",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",16816,2,6,1,0.5,3,1,4850.5,1042.98250225016,4850.5,4113,2868,1245,0.0740366317792578,0.256674569631997,8408,"La Habra",2002,"City Council"
"2002 200200931","City Council","LA PALMA",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",6501,2,5,1,0.5,2.5,1,1851.5,352.846283812087,1851.5,1602,1517,85,0.0130749115520689,0.0459087226573049,3250.5,"La Palma",2002,"City Council"
"2002 200200932","City Council","LAGUNA BEACH",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",20003,3,4,2,0.666666666666667,1.33333333333333,1,5069,76.5310394545899,5032,5018,4796,222,0.0110983352497125,0.0441176470588235,6667.66666666667,"Laguna Beach",2002,"City Council"
"2002 200200933","City Council","LAGUNA HILLS",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",18639,3,5,3,1,1.66666666666667,0,4329.66666666667,95.505671733847,4341,4229,3787,442,0.0237137185471324,0.101819857175766,6213,"Laguna Hills",2002,"City Council"
"2002 200200934","City Council","LAGUNA NIGUEL",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",23643,2,3,2,1,1.5,0,10801.5,628.617928474841,10801.5,10357,2040,8317,0.351774309520788,0.769985650141184,11821.5,"Laguna Niguel",2002,"City Council"
"2002 200200935","City Council","LAGUNA WOODS",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",16598,2,4,2,1,2,0,4969.5,101.116269709676,4969.5,4898,3461,1437,0.0865766959874684,0.289163899788711,8299,"Laguna Woods",2002,"City Council"
"2002 200200936","City Council","LAKE FOREST",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",42742,3,7,3,1,2.33333333333333,0,8299.66666666667,317.667016439122,8440,7936,7151,785,0.0183660100135698,0.0930094786729858,14247.3333333333,"Lake Forest",2002,"City Council"
"2002 200200937","City Council","LOS ALAMITOS",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",7480,3,6,0,0,2,3,1362,67.6683086828687,1389,1285,1158,127,0.0169786096256684,0.0914326853851692,2493.33333333333,"Los Alamitos",2002,"City Council"
"2002 200200938","City Council","MISSION VIEJO",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",76739,3,10,3,1,3.33333333333333,0,16223,1103.04895630248,16235,15114,5794,9320,0.121450631360847,0.574068370803819,25579.6666666667,"Mission Viejo",2002,"City Council"
"2002 200200939","City Council","ORANGE",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",44303,2,7,1,0.5,3.5,1,12844,5972.22387390158,12844,8621,5601,3020,0.0681669412906575,0.235129243226409,22151.5,"Orange",2002,"City Council"
"2002 200200940","City Council","PLACENTIA",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",17098,2,4,2,1,2,0,6025.5,1622.81006282313,6025.5,4878,3485,1393,0.0814715171365072,0.231184134096755,8549,"Placentia",2002,"City Council"
"2002 200200941","City Council","RANCHO SANTA MARGARITA",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",19482,3,3,3,1,1,0,6494,263.871180692398,6378,6308,NA,NA,NA,NA,6494,"Rancho Santa Margarita",2002,"City Council"
"2002 200200942","City Council","RANCHO SANTA MARGARITA",NA,"Short","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",9034,1,2,1,1,2,0,5023,NA,5023,5023,4011,1012,0.112021253044056,0.201473223173402,9034,"Rancho Santa Margarita",2002,"City Council"
"2002 200200943","City Council","SAN CLEMENTE",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",38156,3,6,3,1,2,0,7639.33333333333,351.135776208197,7509,7372,6734,638,0.0167208302757102,0.0849647090158477,12718.6666666667,"San Clemente",2002,"City Council"
"2002 200200944","City Council","SAN JUAN CAPISTRANO",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",22718,3,7,3,1,2.33333333333333,0,4113,819.785947671708,4441,3180,3066,114,0.00501804736332424,0.0256698941679802,7572.66666666667,"San Juan Capistrano",2002,"City Council"
"2002 200200945","City Council","SAN JUAN CAPISTRANO",NA,"Short","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",9346,1,3,0,0,3,1,4580,NA,4580,4580,3552,1028,0.109993580141237,0.224454148471616,9346,"San Juan Capistrano",2002,"City Council"
"2002 200200946","City Council","STANTON",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",9350,3,4,2,0.666666666666667,1.33333333333333,1,2690.66666666667,376.768275380682,2655,2333,1278,1055,0.11283422459893,0.397363465160075,3116.66666666667,"Stanton",2002,"City Council"
"2002 200200947","City Council","TUSTIN",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",20465,2,6,1,0.5,3,1,5184.5,2061.21626715879,5184.5,3727,3414,313,0.0152944050818471,0.0603722634776738,10232.5,"Tustin",2002,"City Council"
"2002 200200948","City Council","WESTMINSTER",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",28564,2,4,1,0.5,2,1,8592,2077.47972312608,8592,7123,6812,311,0.0108878308360174,0.0361964618249534,14282,"Westminster",2002,"City Council"
"2002 200200949","City Council","YORBA LINDA",NA,"Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",31874,2,8,1,0.5,4,1,6381,642.052957317385,6381,5927,5924,3,9.41205998619565e-05,0.000470145745181006,15937,"Yorba Linda",2002,"City Council"
"2002 200200950","City Council","NEWPORT BEACH","1","Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",24280,1,3,1,1,3,0,13541,NA,13541,13541,8090,5451,0.224505766062603,0.402555202717672,24280,"Newport Beach",2002,"City Council"
"2002 200200951","City Council","SANTA ANA","2","Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",28332,1,2,1,1,2,0,18523,NA,18523,18523,9809,8714,0.307567414937173,0.470442152998974,28332,"Santa Ana",2002,"City Council"
"2002 200200952","City Council","NEWPORT BEACH","3","Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",23966,1,2,0,0,2,1,12877,NA,12877,12877,11089,1788,0.0746056913961445,0.138852217131319,23966,"Newport Beach",2002,"City Council"
"2002 200200953","City Council","NEWPORT BEACH","4","Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",23676,1,3,1,1,3,0,12776,NA,12776,12776,9226,3550,0.149940868389931,0.277864746399499,23676,"Newport Beach",2002,"City Council"
"2002 200200954","City Council","SANTA ANA","4","Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",29084,1,2,1,1,2,0,18256,NA,18256,18256,10828,7428,0.255398157062302,0.406879929886065,29084,"Santa Ana",2002,"City Council"
"2002 200200955","City Council","NEWPORT BEACH","6","Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",23475,1,3,0,0,3,1,10929,NA,10929,10929,9833,1096,0.0466879659211928,0.100283649007228,23475,"Newport Beach",2002,"City Council"
"2002 200200956","City Council","SANTA ANA","6","Full","ORANGE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",31084,1,6,0,0,6,1,13236,NA,13236,13236,4950,8286,0.266568009265217,0.626019945602901,31084,"Santa Ana",2002,"City Council"
"2002 200200957","Mayor","ANAHEIM",NA,"Full","ORANGE",2002-11-05,"MAYOR","OTHER CITY OFFICE",44999,1,4,0,0,4,1,16146,NA,16146,16146,12142,4004,0.088979755105669,0.247987117552335,44999,"Anaheim",2002,"Mayor"
"2002 200200958","Mayor","GARDEN GROVE",NA,"Full","ORANGE",2002-11-05,"MAYOR","OTHER CITY OFFICE",29626,1,3,1,1,3,0,19746,NA,19746,19746,7926,11820,0.398973874299602,0.59860224855667,29626,"Garden Grove",2002,"Mayor"
"2002 200200959","Mayor","IRVINE",NA,"Full","ORANGE",2002-11-05,"MAYOR","OTHER CITY OFFICE",37244,1,2,1,1,2,0,19886,NA,19886,19886,17358,2528,0.067876704972613,0.127124610278588,37244,"Irvine",2002,"Mayor"
"2002 200200960","Mayor","ORANGE",NA,"Full","ORANGE",2002-11-05,"MAYOR","OTHER CITY OFFICE",22029,1,1,1,1,1,0,22029,NA,22029,22029,NA,NA,NA,NA,22029,"Orange",2002,"Mayor"
"2002 200200961","Mayor","SANTA ANA",NA,"Full","ORANGE",2002-11-05,"MAYOR","OTHER CITY OFFICE",25669,1,1,1,1,1,0,25669,NA,25669,25669,NA,NA,NA,NA,25669,"Santa Ana",2002,"Mayor"
"2002 200200962","Mayor","WESTMINSTER",NA,"Full","ORANGE",2002-11-05,"MAYOR","OTHER CITY OFFICE",16647,1,2,1,1,2,0,9951,NA,9951,9951,6696,3255,0.195530726256983,0.327102803738318,16647,"Westminster",2002,"Mayor"
"2002 200200964","City Council","AUBURN",NA,"Full","PLACER",2002-11-05,"CITY COUNCIL","CITY COUNCIL",12104,3,7,2,0.666666666666667,2.33333333333333,1,2320,135.336617365737,2374,2166,1980,186,0.0153668208856576,0.0783487784330244,4034.66666666667,"Auburn",2002,"City Council"
"2002 200200965","City Council","COLFAX",NA,"Full","PLACER",2002-11-05,"CITY COUNCIL","CITY COUNCIL",850,3,3,2,0.666666666666667,1,1,283.333333333333,18.2300118851671,280,267,NA,NA,NA,NA,283.333333333333,"Colfax",2002,"City Council"
"2002 200200966","City Council","LINCOLN",NA,"Full","PLACER",2002-11-05,"CITY COUNCIL","CITY COUNCIL",9664,2,3,2,1,1.5,0,3372.5,283.549819255806,3372.5,3172,2919,253,0.0261796357615894,0.0750185322461082,4832,"Lincoln",2002,"City Council"
"2002 200200967","City Council","LOOMIS",NA,"Full","PLACER",2002-11-05,"CITY COUNCIL","CITY COUNCIL",3244,3,3,2,0.666666666666667,1,1,1081.33333333333,55.5007507456731,1081,1026,NA,NA,NA,NA,1081.33333333333,"Loomis",2002,"City Council"
"2002 200200968","City Council","ROCKLIN",NA,"Full","PLACER",2002-11-05,"CITY COUNCIL","CITY COUNCIL",22189,2,4,2,1,2,0,6553.5,249.608693758851,6553.5,6377,4958,1419,0.0639506061562035,0.216525520714122,11094.5,"Rocklin",2002,"City Council"
"2002 200200969","City Council","ROSEVILLE",NA,"Full","PLACER",2002-11-05,"CITY COUNCIL","CITY COUNCIL",66748,3,6,2,0.666666666666667,2,1,14501,1930.76591020248,14538,12552,11733,819,0.0122700305627135,0.0563351217498968,22249.3333333333,"Roseville",2002,"City Council"
"2002 200200970","City Council","PORTOLA",NA,"Full","PLUMAS",2002-11-05,"CITY COUNCIL","CITY COUNCIL",1046,2,5,2,1,2.5,0,265.5,34.6482322781408,265.5,241,196,45,0.0430210325047801,0.169491525423729,523,"Portola",2002,"City Council"
"2002 200200971","City Council","RIVERSIDE","4","Full","RIVERSIDE",2002-01-15,"CITY COUNCIL","CITY COUNCIL",10734,1,2,1,1,2,0,6360,NA,6360,6360,4374,1986,0.185019564002236,0.312264150943396,10734,"Riverside",2002,"City Council"
"2002 200200972","City Council","RIVERSIDE","6","Full","RIVERSIDE",2002-01-15,"CITY COUNCIL","CITY COUNCIL",2842,1,2,1,1,2,0,1612,NA,1612,1612,1230,382,0.134412385643913,0.23697270471464,2842,"Riverside",2002,"City Council"
"2002 200200973","City Council","PALM SPRINGS",NA,"Full","RIVERSIDE",2002-04-09,"CITY COUNCIL","CITY COUNCIL",7935,1,4,0,0,4,1,5265,NA,5265,5265,2395,2870,0.361688720856963,0.545109211775878,7935,"Palm Springs",2002,"City Council"
"2002 200200974","City Council","RANCHO MIRAGE","1","Full","RIVERSIDE",2002-04-09,"CITY COUNCIL","CITY COUNCIL",3137,1,2,1,1,2,0,1726,NA,1726,1726,1411,315,0.100414408670704,0.182502896871379,3137,"Rancho Mirage",2002,"City Council"
"2002 200200975","City Council","RANCHO MIRAGE","3","Full","RIVERSIDE",2002-04-09,"CITY COUNCIL","CITY COUNCIL",3105,1,2,0,0,2,1,1655,NA,1655,1655,1450,205,0.0660225442834139,0.123867069486405,3105,"Rancho Mirage",2002,"City Council"
"2002 200200976","City Council","RANCHO MIRAGE","5","Full","RIVERSIDE",2002-04-09,"CITY COUNCIL","CITY COUNCIL",3165,1,2,1,1,2,0,1647,NA,1647,1647,1518,129,0.0407582938388626,0.0783242258652095,3165,"Rancho Mirage",2002,"City Council"
"2002 200200978","City Council","BANNING",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",11766,2,6,2,1,3,0,3175.5,115.258405333407,3175.5,3094,1880,1214,0.103178650348462,0.382301999685089,5883,"Banning",2002,"City Council"
"2002 200200979","City Council","BANNING",NA,"Short","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",6452,1,2,0,0,2,1,3668,NA,3668,3668,2784,884,0.137011779293242,0.241003271537623,6452,"Banning",2002,"City Council"
"2002 200200980","City Council","CALIMESA",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",3689,2,4,2,1,2,0,1018.5,78.4888527117068,1018.5,963,900,63,0.0170777988614801,0.0618556701030928,1844.5,"Calimesa",2002,"City Council"
"2002 200200981","City Council","CANYON LAKE",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",5273,2,4,1,0.5,2,1,1486,33.9411254969543,1486,1462,1306,156,0.0295846766546558,0.104979811574697,2636.5,"Canyon Lake",2002,"City Council"
"2002 200200982","City Council","CATHEDRAL",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",10935,2,3,1,0.5,1.5,1,3756,350.724963468528,3756,3508,3423,85,0.0077732053040695,0.0226304579339723,5467.5,"Cathedral",2002,"City Council"
"2002 200200983","City Council","CORONA",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",50347,3,7,1,0.333333333333333,2.33333333333333,2,11640.6666666667,1384.89072974489,11127,10586,7172,3414,0.0678094027449501,0.306821245618765,16782.3333333333,"Corona",2002,"City Council"
"2002 200200984","City Council","HEMET",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",21435,2,3,2,1,1.5,0,8646,650.538238691624,8646,8186,4143,4043,0.188616748308841,0.467615082118899,10717.5,"Hemet",2002,"City Council"
"2002 200200985","City Council","LA QUINTA",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",11897,1,4,2,2,4,-1,3737,NA,3737,3737,3395,342,0.0287467428763554,0.0915172598340915,11897,"La Quinta",2002,"City Council"
"2002 200200986","City Council","PALM DESERT",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",18584,2,3,2,1,1.5,0,7679,132.936074863071,7679,7585,3226,4359,0.234556607834697,0.567652038025785,9292,"Palm Desert",2002,"City Council"
"2002 200200987","City Council","SAN JACINTO",NA,"Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",6754,2,4,0,0,2,2,1966,96.1665222413705,1966,1898,1653,245,0.0362748001184483,0.124618514750763,3377,"San Jacinto",2002,"City Council"
"2002 200200988","City Council","MORENO VALLEY","2","Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",4810,1,2,1,1,2,0,3013,NA,3013,3013,1797,1216,0.252806652806653,0.403584467308331,4810,"Moreno Valley",2002,"City Council"
"2002 200200989","City Council","MORENO VALLEY","4","Full","RIVERSIDE",2002-11-05,"CITY COUNCIL","CITY COUNCIL",3197,1,2,1,1,2,0,2130,NA,2130,2130,1067,1063,0.332499218016891,0.49906103286385,3197,"Moreno Valley",2002,"City Council"
"2002 200200991","Mayor","CATHEDRAL",NA,"Full","RIVERSIDE",2002-11-05,"MAYOR","OTHER CITY OFFICE",6518,1,1,1,1,1,0,6518,NA,6518,6518,NA,NA,NA,NA,6518,"Cathedral",2002,"Mayor"
"2002 200200992","Mayor","LA QUINTA",NA,"Full","RIVERSIDE",2002-11-05,"MAYOR","OTHER CITY OFFICE",6841,1,2,0,0,2,1,4809,NA,4809,4809,2032,2777,0.405934804853092,0.577458931170722,6841,"La Quinta",2002,"Mayor"
"2002 200200993","City Council","GALT",NA,"Short","SACRAMENTO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",2940,1,5,0,0,5,1,1281,NA,1281,1281,729,552,0.187755102040816,0.430913348946136,2940,"Galt",2002,"City Council"
"2002 200200994","City Council","ISLETON",NA,"Short","SACRAMENTO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",122,1,1,1,1,1,0,122,NA,122,122,NA,NA,NA,NA,122,"Isleton",2002,"City Council"
"2002 200200995","City Council","SACRAMENTO","1","Full","SACRAMENTO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",6470,1,2,1,1,2,0,4290,NA,4290,4290,2180,2110,0.326120556414219,0.491841491841492,6470,"Sacramento",2002,"City Council"
"2002 200200996","City Council","SACRAMENTO","3","Full","SACRAMENTO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",10887,1,2,1,1,2,0,7806,NA,7806,7806,3081,4725,0.434003857812069,0.605303612605688,10887,"Sacramento",2002,"City Council"
"2002 200200997","City Council","SACRAMENTO","5","Full","SACRAMENTO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",5775,1,2,1,1,2,0,3511,NA,3511,3511,2264,1247,0.215930735930736,0.355169467388208,5775,"Sacramento",2002,"City Council"
"2002 200200998","City Council","SACRAMENTO","7","Full","SACRAMENTO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",9366,1,2,1,1,2,0,5424,NA,5424,5424,3942,1482,0.158231902626521,0.273230088495575,9366,"Sacramento",2002,"City Council"
"2002 200201000","City Council","CITRUS HEIGHTS",NA,"Full","SACRAMENTO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",51158,3,7,3,1,2.33333333333333,0,8938.66666666667,765.391620893078,9057,8121,6761,1360,0.0265843074396966,0.150160097162416,17052.6666666667,"Citrus Heights",2002,"City Council"
"2002 200201001","City Council","FOLSOM",NA,"Full","SACRAMENTO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",42114,3,9,3,1,3,0,6564.33333333333,383.365795726918,6545,6191,5744,447,0.0106140475851261,0.0682964094728801,14038,"Folsom",2002,"City Council"
"2002 200201002","City Council","GALT",NA,"Full","SACRAMENTO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",12113,3,9,4,1.33333333333333,3,-1,1982.33333333333,339.29534823415,2125,1595,1368,227,0.0187401964831173,0.106823529411765,4037.66666666667,"Galt",2002,"City Council"
"2002 200201003","City Council","ISLETON",NA,"Full","SACRAMENTO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",471,3,5,3,1,1.66666666666667,0,117.333333333333,14.0118997046558,118,103,69,34,0.0721868365180467,0.288135593220339,157,"Isleton",2002,"City Council"
"2002 200201004","City Council","RANCHO CORDOVA-P",NA,"Full","SACRAMENTO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",46761,5,21,5,1,4.2,0,5253.8,928.124291245521,4976,4267,3214,1053,0.0225187656380317,0.21161575562701,9352.2,"Rancho Cordova-P",2002,"City Council"
"2002 200201005","City Council","ELK GROVE","2","Full","SACRAMENTO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",19970,1,2,1,1,2,0,11482,NA,11482,11482,8488,2994,0.149924887330996,0.260755965859606,19970,"Elk Grove",2002,"City Council"
"2002 200201006","City Council","ELK GROVE","4","Full","SACRAMENTO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",20158,1,4,1,1,4,0,6786,NA,6786,6786,5701,1085,0.0538247842047822,0.159888004715591,20158,"Elk Grove",2002,"City Council"
"2002 200201007","City Council","SAN JUAN BAUTISTA",NA,"Full","SAN BENITO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",1189,3,5,2,0.666666666666667,1.66666666666667,1,305.333333333333,52.3672925912094,332,245,139,106,0.0891505466778806,0.319277108433735,396.333333333333,"San Juan Bautista",2002,"City Council"
"2002 200201008","City Council","HOLLISTER","2","Full","SAN BENITO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",944,1,2,1,1,2,0,482,NA,482,482,462,20,0.0211864406779661,0.04149377593361,944,"Hollister",2002,"City Council"
"2002 200201009","City Council","HOLLISTER","3","Full","SAN BENITO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",1153,1,3,1,1,3,0,557,NA,557,557,451,106,0.0919340849956635,0.190305206463196,1153,"Hollister",2002,"City Council"
"2002 200201011","City Council","LOMA LINDA",NA,"Full","SAN BERNARDINO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",3047,2,3,1,0.5,1.5,1,1278,108.894444302728,1278,1201,491,710,0.233016081391533,0.555555555555556,1523.5,"Loma Linda",2002,"City Council"
"2002 200201012","City Council","COLTON","1","Full","SAN BERNARDINO",2002-03-05,"CITY COUNCIL","CITY COUNCIL",437,1,3,0,0,3,1,129,NA,129,129,NA,NA,NA,NA,437,"Colton",2002,"City Council"
"2002 200201014","City Council","ADELANTO",NA,"Full","SAN BERNARDINO",2002-11-05,"CITY COUNCIL","CITY COUNCIL",3447,2,8,0,0,4,2,714,52.3259018078045,714,677,610,67,0.0194371917609516,0.0938375350140056,1723.5,"Adelanto",2002,"City Council"
